id,category,question,answer,source,
1,请假,3 天内的事假需要走什么审批流程？,3 天以内的事假，需提前在教务系统提交线上申请，由辅导员线上审批通过后方可离岗，无需二级学院签字,教务处《学分制学籍管理办法》PDF,
2,请假,4-7 天的长假需要哪些审批材料？,4-7 天的事假 / 病假，需提交纸质请假单 + 相关证明材料，先由辅导员签字，再提交二级学院学生工作副书记审批备案,教务处《学分制学籍管理办法》PDF,
3,请假,15 天以上的超长假期怎么申请？,15 天以上的假期，需提前 3 个工作日提交书面申请，附相关证明材料，经辅导员、二级学院副书记、分管校领导三级审批通过后方可执行,教务处《学分制学籍管理办法》PDF,
4,请假,病假必须要校医院的诊断证明吗？,3 天以内的短期病假，可提交校医院诊断证明；3 天以上的长假，需提供县级及以上医院的病历、诊断证明，统一交由教务处备案,教务处考勤管理通知,
5,请假,假期到期后忘记销假会有什么后果？,假期到期未按时返校销假，超出时长按旷课统计，累计旷课达到 10 学时给予警告处分，20 学时给予记过处分，同时取消本学期所有评奖评优资格,教务处《学生违纪处分管理办法》,
6,请假,实训、实习期间可以随便请假吗？,实训、实习阶段无特殊事由不予批假，确需请假的，需提交书面申请，由实训指导老师、系主任双重审批，请假时长累计不得超过实训总时长的 1/10,教务处实训管理通知,
7,请假,周末离校需要走正式请假流程吗？,周末正常离校无需提交正式请假申请，但需在班级群向辅导员报备出行地点、返校时间，确保安全可联系,班级群 2025.9 安全管理通知,
8,请假,法定节假日想提前离校怎么申请？,法定节假日提前离校，需提前 1 天提交请假申请，说明提前离校事由，经辅导员审批通过后方可离校，不得擅自提前走,教务处节假日考勤通知,
9,请假,请假期间的课程作业、考勤怎么处理？,请假期间的课程考勤按请假处理，不记旷课；课程作业需在返校后 3 个工作日内补交给任课老师，逾期未交按缺交处理,教务处教学管理规定,
10,请假,一学期累计请假最多不能超过多少天？,一学期内事假累计不得超过 30 天，病假累计不得超过 60 天，超出时长需办理休学手续,教务处《学籍管理办法》,
11,奖学金,国家奖学金的基本申请条件是什么？,全日制二年级及以上在校学生，学年平均绩点不低于 3.5，成绩与综合测评排名均在专业前 10%，无任何挂科、违纪记录，体测成绩达到良好及以上,学生处《国家奖学金评审实施细则》,
12,奖学金,国家励志奖学金和国家奖学金有什么区别？,国家奖学金面向全体优秀学生，奖励金额 8000 元 / 年；国家励志奖学金面向家庭经济困难的优秀学生，奖励金额 5000 元 / 年，绩点要求可放宽至专业前 30%,学生处资助管理中心通知,
13,奖学金,哪些情况会直接失去奖学金评选资格？,在校期间有任何违纪处分记录、学期内有单科挂科、体测成绩不合格、无故旷课累计达 5 学时以上，均实行一票否决，不得参与任何奖学金评选,学生手册 P42,
14,奖学金,学科竞赛获奖可以加奖学金综合测评分吗？,省级及以上 A 类学科竞赛获奖，可加综合测评创新分 5-10 分；校级竞赛获奖加分减半，同一项目按最高级别加分，不重复累计,学生处《综合测评管理办法》,
15,奖学金,每年的奖学金申请和评审时间是什么时候？,每年 9 月新学期第一周，学生提交综合测评表与相关证明材料；9 月中旬班级、二级学院评审；9 月底公示评审结果，无异议后上报教育厅,学生处 2025 年奖学金评审通知,
16,奖学金,挂科补考过了，还能参与奖学金评选吗？,学期内有挂科记录，即使后续补考通过，也不得参与本学年的奖学金评选，需无任何挂科记录方可参评,学生手册奖学金评选规则,
17,奖学金,国家助学金的申请条件是什么？,全日制在校学生，家庭经济困难，无违纪记录，无挂科，体测合格，按困难等级分为一等 4400 元 / 年、二等 3300 元 / 年、三等 2200 元 / 年,学生处资助管理通知,
18,奖学金,奖学金的发放时间是什么时候？,国家奖学金、励志奖学金、助学金，均在每年 11 月底前一次性发放到学生绑定的银行卡中,学生处财务发放通知,
19,奖学金,班级内的奖学金名额是怎么分配的？,奖学金名额按专业人数比例分配，国家奖学金按专业前 10% 的比例确定名额，励志奖学金按专业人数的 3% 分配,学生处奖学金评审细则,
20,奖学金,获得奖学金后，会记录到个人档案里吗？,国家奖学金、励志奖学金的获奖记录，会完整记入学生个人学籍档案，同时颁发获奖证书,教务处学籍档案管理规定,
21,宿舍报修,宿舍内的设施故障怎么线上报修？,微信搜索学校后勤报修系统小程序，登录后填写所在楼栋、房间号、故障类型、联系方式，提交报修工单即可，工作人员 24 小时内上门处理,后勤处《报修系统用户手册》PDF,
22,宿舍报修,宿舍空调、灯具、热水器故障维修收费吗？,非人为损坏的设施故障，全部免费上门维修；人为损坏导致的故障，维修费用由对应宿舍的学生共同承担,后勤服务管理规定,
23,宿舍报修,宿舍水龙头、水管漏水该找谁报修？,可直接在后勤报修小程序提交工单，也可前往一号宿舍楼楼下的后勤维修办公室线下登记，工作日 8:30-17:30 可现场办理,班级群后勤维修通知,
24,宿舍报修,夜间停水、断电、断网该联系谁处理？,宿舍楼道内张贴有后勤 24 小时值班电话，夜间突发故障可直接拨打值班人员电话，工作人员会第一时间上门处理,宿舍管理群 2025.10 通知,
25,宿舍报修,宿舍家具、门窗人为损坏，维修费用怎么算？,桌椅、门窗、墙面、衣柜等人为破损，维修费用按实际维修成本收取，由损坏责任人承担，无法确定责任人的，由宿舍全体学生分摊,学生手册 P65,
26,宿舍报修,宿舍网络故障怎么报修？,校园网故障可直接在信息化中心公众号提交报修单，也可拨打校园网运维电话，工作日 9:00-18:00 上门维修,信息化中心校园网服务指南,
27,宿舍报修,宿舍钥匙丢了该怎么办？,宿舍钥匙丢失，需先向宿管阿姨报备，由宿管安排工作人员上门开锁，更换锁芯的费用由学生自行承担，不得私自更换宿舍门锁,宿舍管理规定,
28,宿舍报修,宿舍卫生检查不合格有什么影响？,宿舍卫生检查不合格，第一次给予口头警告，第二次给予通报批评，累计三次不合格，取消宿舍内所有学生的本学期评奖评优资格,学生处宿舍管理通知,
29,宿舍报修,宿舍内可以私自使用大功率电器吗？,宿舍内严禁使用电煮锅、电暖器、卷发棒等大功率违规电器，一经发现，立即没收电器，给予学生警告处分，同时取消宿舍评优资格,学生手册宿舍安全管理规定,
30,宿舍报修,宿舍报修后，工作人员多久会上门处理？,一般故障 24 小时内上门维修，紧急故障（停水、断电、空调故障）工作日 2 小时内、非工作日 4 小时内上门处理,后勤处报修服务承诺,
31,一卡通补办,校园一卡通丢失了，怎么线上挂失冻结？,关注学校信息化建设与管理中心公众号，进入「一卡通业务」入口，点击「一键挂失」，即可冻结一卡通的消费、门禁功能，防止盗刷,信息化中心一卡通服务指南,
32,一卡通补办,线下补办校园一卡通的地点和时间是什么？,新桥校区行政楼一楼卡务中心，工作日 8:30-17:00 可办理补办业务，周末及法定节假日不办理,信息化中心 2025 年一卡通服务通知,
33,一卡通补办,补办校园一卡通需要收取多少工本费？,首次丢失补办，收取工本费 10 元；3 个月内二次及以上丢失补办，收取工本费 20 元，补办费用从一卡通余额中扣除,卡务中心公示文件,
34,一卡通补办,挂失后又找到了原卡，怎么解除冻结恢复使用？,携带本人学生证、身份证，前往行政楼卡务中心，核验身份后即可办理解除冻结手续，原卡余额自动恢复，无需重新补办,班级群校园卡使用通知,
35,一卡通补办,校园一卡通消磁、刷不上了怎么办？,携带消磁的一卡通和学生证，前往卡务中心免费办理写磁、补磁业务，无法修复的可免费更换新卡，余额自动转入新卡,信息化中心服务指南,
36,一卡通补办,校园一卡通可以在哪些地方使用？,一卡通可用于校园内食堂消费、超市购物、宿舍门禁、图书馆借阅、校医院就医、机房上机等所有校园内消费和身份认证场景,学生手册 P31,
37,一卡通补办,校园一卡通的充值渠道有哪些？,可通过学校公众号线上充值、食堂自助充值机现金 / 扫码充值、行政楼卡务中心人工充值，充值后实时到账,信息化中心充值服务说明,
38,一卡通补办,一卡通的每日消费限额是多少？怎么修改？,一卡通默认每日消费限额 50 元，超出限额需输入消费密码；可在公众号一卡通业务入口，自行修改每日消费限额，最高可设置为 200 元 / 天,卡务中心使用说明,
39,一卡通补办,毕业离校后，一卡通里的余额能退吗？,毕业离校时，可前往卡务中心办理一卡通注销手续，卡内剩余余额全额退还学生本人，注销后一卡通无法继续使用,教务处毕业离校通知,
40,一卡通补办,一卡通借给别人使用会有什么处罚？,校园一卡通仅限本人使用，严禁转借、冒用他人一卡通，一经发现，给予警告处分，同时冻结一卡通使用权限 15 天,学生手册校园卡管理规定,
41,选课退课,大一新生的选课时间是怎么安排的？,新生入学后第二周开放课程预选通道，第三周开启正式选课，第四周为退课调整窗口期，逾期不再调整课程,教务处 2025 年学期选课公告,
42,选课退课,课程退课的最晚截止时间是什么时候？,每学期开学第四周的周五 17:00 为退课截止日期，超时后教务系统关闭退课通道，无法办理任何退课手续,教务处《选课管理办法》,
43,选课退课,必修课可以申请退课吗？,专业必修课、公共必修课均不允许退课，确有特殊情况无法上课的，需办理休学、缓考手续，不得擅自退课,教务处教学管理规定,
44,选课退课,选修课选错了，在退课窗口期可以更换吗？,在正式选课、退课窗口期内，可自由退选已选的选修课，重新选择其他课程，退课窗口期结束后，不可再调整课程,教务处选课须知,
45,选课退课,挂科的课程，什么时候可以申请重修选课？,每学期期末，教务处开放重修选课通道，挂科学生需在规定时间内完成重修选课，逾期未选的，需顺延至下一学年重修,教务处学籍管理通知,
46,选课退课,选课的时候，课程人数满了还能加进去吗？,课程人数达到上限后，教务系统自动关闭选课通道，无法再加入；确有特殊情况的，需提交书面申请，由任课老师、教务处审批同意后，人工加课,教务处选课管理通知,
47,选课退课,大学期间需要修满多少选修课学分才能毕业？,专科学生在校期间，需修满公共选修课 6 学分、专业选修课 4 学分，合计 10 学分，未修满学分的，无法正常毕业,教务处《人才培养方案》,
48,选课退课,退课之后，该课程的成绩会怎么记录？,在退课窗口期内正常退课的课程，不记录任何成绩，不影响绩点；退课窗口期结束后，未参加课程考试的，按缺考、0 分记录,教务处成绩管理规定,
49,选课退课,重修考试没过，还能再申请重修吗？,重修考试未通过的，可在下一学年继续申请重修，直至考试通过；毕业前仍未通过的，按结业处理，无法正常毕业,教务处《学籍管理办法》,
50,选课退课,可以提前选修高年级的课程吗？,学有余力的学生，可提交书面申请，经辅导员、系主任审批同意后，提前选修高年级的专业课程，考核通过后，学分提前计入毕业学分,教务处教学管理规定,
51,请假,怎么请病假？,病假需向辅导员提交书面假条并附校医院诊断证明，3天内交教务处备案,教务处学籍管理特殊规定,学生手册P23
52,奖学金,奖学金要多少绩点？,学年平均绩点需达到3.0以上，无挂科记录，体测成绩合格方可参评。,学生处奖学金评审细则,学生手册P45
53,宿舍报修,宿舍灯坏了找谁？,宿舍灯具故障可通过后勤报修小程序提交工单，或联系宿管登记报修，24小时内上门处理。,后勤处空调维修服务说明,
54,一卡通补办,一卡通在食堂消费时，多扣了钱怎么办？,发现消费多扣、错扣的情况，可在 3 个工作日内，携带一卡通和消费记录，前往食堂财务办公室核对，确认无误后全额退还差额,食堂消费管理通知,后勤服务指南
55,选课退课,选修课考试没过，需要重修吗？,选修课考试未通过，无需重修，可重新选择其他选修课修满学分即可，也可选择重修该课程，考核通过后计入学分,教务处选修课管理规定,
56,请假,学生因家庭重大变故请假，最长可以请多久？,因家庭重大变故、直系亲属生病等特殊情况请假，最长可申请 30 天假期，超出 30 天的，需办理休学手续,教务处特殊情况请假管理规定,
57,奖学金,家庭经济困难的学生，除了助学金还有什么资助政策？,家庭经济困难学生，可申请国家助学贷款、勤工助学岗位、临时困难补助、学费减免等多项资助政策，确保学生顺利完成学业,学生处资助管理中心通知,
58,宿舍报修,宿舍内的洗衣机故障怎么报修？,宿舍公共洗衣机故障，可直接在洗衣机机身张贴的运维二维码上提交报修，也可联系宿管阿姨登记，运维人员 24 小时内上门维修,宿舍公共设施管理通知,
59,一卡通补办,校园一卡通的初始密码是什么？怎么修改？,一卡通初始密码为身份证后 6 位，首次使用需在食堂自助充值机、公众号一卡通入口修改密码，确保账户安全,信息化中心一卡通安全使用说明,
60,选课退课,每学期最多可以选多少学分的课程？,每学期选课学分上限为 30 学分，超出上限的，教务系统无法提交选课申请，确有需要的，需提交书面申请，经教务处审批同意后可增加学分上限,教务处选课管理规定,
